,Landing page,Sessions,Users,New users,Average engagement time per session,Key eventsAll eventsAll eventsarrow_drop_down,Total revenue
1,/,"67,099","47,549","45,029",7s,"2,653.00","$1,390.45"
2,(not set),"26,253","20,762",3,0s,118,$0.00
3,/product/chrome-dino-googler-accessory-pack-ggoegfda213799,"1,925","1,769","1,216",14s,"2,646.00",$0.00
4,/canada,"1,582","1,385","1,225",6s,44,$0.00
5,/product/google-ripl-forest-green-bottle-ggoegdhh220199,"1,064",985,797,8s,"1,129.00",$0.00
6,/shop/apparel,769,652,504,22s,42,$0.00
7,/shop/lifestyle/eco-friendly,735,700,398,25s,30,$0.00
8,/shop/apparel/mens,578,452,224,21s,81,$307.83
9,/shop/lifestyle/bags,545,479,398,9s,19,$0.00
10,/shop/shop-by-brand/youtube,504,457,417,17s,37,$0.00
11,/product/chrome-dino-collectible-figurines-ggoegabj125299,384,330,281,13s,524,$0.00
12,/shop/lifestyle/drinkware,357,302,212,14s,50,$0.00
13,/canada/fr,322,268,251,10s,6,$0.00
14,/checkout,312,207,44,9s,16,$296.30
15,/account,302,182,55,10s,13,$0.00
16,/shop/new,299,224,83,22s,31,$0.00
17,/product/google-mini-kick-ball-ggoegfsr022099,272,269,266,3s,192,$0.00
18,/product/google-campus-bike-ggoegcba096099,262,239,220,11s,302,$0.00
19,/canada/product/google-heather-forest-tee-ggcngxxx1044,261,191,191,1s,318,$0.00
20,/shop/clearance,259,189,106,14s,11,$0.00
21,/product/for-everyone-google-tee-ggoegxxx1802,235,217,205,13s,258,$0.00
22,/product/super-g-timbuk2-recycled-backpack-ggoegbrb207199,221,179,124,9s,265,$0.00
23,/canada/shop/apparel/mens-unisex,215,172,164,8s,0,$0.00
24,/product/google-hologram-mtv-campus-sticker-ggoegcka198299,179,175,163,7s,188,$0.00
25,/product/google-bear-baby-blanket-beige-ggoegcbd164599,164,155,143,6s,174,$0.00
26,/shop/shop-by-brand/android,141,117,94,13s,8,$0.00
27,/shop/stationery,140,118,64,19s,13,$0.00
28,/shop/shop-by-brand/google,138,112,76,19s,8,$0.00
29,/product/google-sticker-ggoegcka166399,131,127,120,9s,141,$0.00
30,/shop-by-brand/google,119,84,73,0s,0,$0.00
31,/shop/apparel/headgear,112,99,84,7s,8,$0.00
32,/product/chrome-dino-warm-and-cozy-accessory-pack-ggoegfda213899,102,60,42,7s,130,$0.00
33,/basket.html,101,68,41,4s,1,$0.00
34,/search,97,68,17,8s,13,"$2,811.96"
35,/shop/womens,97,76,67,20s,4,$0.00
36,/shop/collections/chrome-dino,94,67,34,17s,6,$0.00
37,/product/chrome-dino-dark-mode-collectible-ggoegabq170299,92,72,59,7s,115,$0.00
38,/product/google-cloud-unisex-onyx-zip-hoodie-ggoecxxx1898,90,81,67,10s,115,$0.00
39,/shop/apparel/womens,84,56,9,5s,5,$0.00
40,/shop/lifestyle,82,68,37,12s,0,$0.00
41,/shop/lifestyle/fun-and-games,80,50,21,7s,8,$0.00
42,/canada/shop/apparel/headgear,78,60,39,0s,0,$0.00
43,/product/chrome-dino-marine-layer-tee-ggoegxxx1194,76,69,60,9s,109,$0.00
44,/product/collections/super-g-tahoe-unisex-black-puffer-vest-ggoegxxx2053,73,72,70,4s,0,$0.00
45,/shop/collections/view-all-campus-collection,72,71,44,13s,0,$0.00
46,/shop/shop-by-brand/google-cloud,69,34,9,14s,3,$0.00
47,/product/google-cloud-unisex-onyx-tee-ggoecxxx1907,65,60,54,11s,75,$0.00
48,/product/mommy-works-at-google-book-ggoegfbq156799,63,57,53,8s,80,$0.00
49,/shop/socks,62,53,53,9s,4,$0.00
50,/Google Redesign/Stationery,61,52,50,1s,0,$0.00
51,/product/chrome-dino-game-over-mug-ggoegdwb211499,59,48,45,7s,74,$0.00
52,/product/google-black-eco-zip-hoodie-ggoegxxx1648,58,49,38,11s,82,$0.00
53,/product/daddy-works-at-google-book-ggoegfbq156899,56,42,36,9s,74,$0.00
54,/product/google-noogler-hat-patch-ggoegcba198799,55,54,54,5s,55,$0.00
55,/product/google-sensory-support-event-kit-ggcogcbq218799,55,43,31,8s,61,$0.00
56,/shop/shop-by-brand,55,49,34,10s,2,$0.00
57,/product/google-gradient-blue-sunglasses-ggoeghga174399,53,48,46,9s,71,$0.00
58,/product/super-g-brick-puzzle-set-ggoegfba200999,53,41,30,21s,88,$0.00
59,/product/chrome-dino-hit-the-slopes-sweater-ggoegxxx2244,52,37,19,13s,79,$0.00
60,/product/google-onyx-water-bottle-ggoegdhb185499,51,51,47,13s,65,$0.00
61,/product/google-recycled-black-backpack-ggoegbrb186599,50,41,29,8s,65,$0.00
62,/product/google-ripl-ocean-blue-bottle-ggoegdhc186099,50,48,27,10s,58,$0.00
63,/shop/youtube,50,46,43,10s,1,$0.00
64,/product/google-cloud-full-zip-packable-jacket-ggoecxxx1885,49,45,39,6s,61,$0.00
65,/product/google-camp-mug-white-ggoegdwq183599,48,45,42,12s,74,$0.00
66,/shop/apparel/kids,48,31,12,4s,7,$0.00
67,/product/google-vintage-washed-plum-sweatshirt-ggoegxxx2038,46,15,5,5s,54,$0.00
68,/product/emoji-kitchen-sticker-sheet-ggoegoka209499,45,44,44,20s,3,$0.00
69,/return-policy,43,33,3,5s,0,$0.00
70,/product/google-indigo-onesie-ggoegxxx2000,42,36,27,7s,58,$0.00
71,/shop/mens,42,39,32,25s,2,$0.00
72,/25thBirthday,41,38,29,0s,0,$0.00
73,/shop/stationery/stickers,41,27,11,6s,2,$0.00
74,/product/google-cloud-cap-ggoecapb180310,40,40,38,8s,43,$0.00
75,/product/google-cloud-lanyard-ggoeccbq208499,39,39,37,11s,69,$0.00
76,/product/google-cloud-journal-ggoecolj164299,37,35,32,6s,38,$0.00
77,/product/google-eco-tee-black-ggoegxxx1189,37,27,13,4s,42,$0.00
78,/shop/collections,36,27,7,21s,0,$0.00
79,/shop/drinkware,36,30,21,8s,11,$0.00
80,/product/google-cloud-clay-mug-ggoegdwq180999,34,34,30,14s,53,$0.00
81,/Chrome+Dino,33,31,27,0s,0,$0.00
82,/Holiday,33,33,24,0s,0,$0.00
83,/product/google-classic-white-onesie-ggoegxxx1962,32,28,25,11s,42,$0.00
84,/product/super-g-2-in-1-bottle-ggoegdhq210399,31,14,4,9s,37,$0.00
85,/product/google-enamel-pin-ggoegcba207299,29,26,22,14s,35,$0.00
86,/shop/apparel/accessories,29,22,8,16s,7,$0.00
87,/product/chrome-dino-game-over-cap-ggoeghpb227099,28,22,14,6s,43,$0.00
88,/product/google-bamboo-lid-recycled-bottle-ggoegdhj174799,28,25,22,9s,47,$0.00
89,/product/google-cloud-brick-puzzle-set-ggoecfba200899,28,21,14,53s,33,$0.00
90,/product/google-cloud-skyline-backpack-ggoecbrj222499,28,28,1,0s,16,$0.00
91,/product/google-pen-bright-blue-ggoegoac123799,28,23,21,7s,36,$0.00
92,/shop/lifestyle/small-goods,28,22,5,14s,0,$0.00
93,/canada/return-policy,26,26,0,0s,0,$0.00
94,/product/google-fill-it-forward-bottle-ggoegdhr209899,26,20,17,11s,31,$0.00
95,/product/chrome-dino-socks-ggoegakb165910,25,16,13,7s,40,$0.00
96,/product/google-cloud-sticker-ggoecckq173599,25,24,21,9s,26,$0.00
97,/shop/collections/google-bike,25,20,8,18s,2,$0.00
98,/canada/shop/apparel,24,19,8,23s,3,$0.00
99,/product/google-dune-paracord-bottle-ggoegdhk211199,23,20,12,12s,35,$0.00
100,/product/google-vintage-wash-grey-pullover-ggoegxxx2235,23,19,11,11s,39,$0.00
101,/product/google-womens-eco-tee-black-ggoegxxx1190,23,8,4,1s,21,$0.00
102,/shop/stationery/notebooks-journals,23,19,9,6s,1,$0.00
103,/product/google-black-wheat-pen-ggoegoab177499,22,18,14,10s,31,$0.00
104,/product/google-eco-tee-white-ggoegxxx2134,22,20,10,12s,37,$0.00
105,/product/google-oatmeal-bear-ear-baby-hat-ggoegawd170710,22,19,16,16s,32,$0.00
106,/product/google-yosemite-windbreaker-ggoegxxx2217,22,21,12,19s,68,$0.00
107,/shop/headgear,22,18,13,6s,0,$0.00
108,/Google+Bike,21,17,14,0s,0,$0.00
109,/product/google-25th-birthday-hoodie-ggoegxxx2198,21,18,15,7s,30,$0.00
110,/product/youtube-kids-sprinkle-toast-keychain-ggoeycba182399,21,10,5,10s,30,$0.00
111,/frequently-asked-questions,20,15,7,27s,15,$0.00
